report_id,date,house,company,issue,stance_score,summary,source_page
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,AMPC,1,"AMPC(기타) 영업이익 기여가 2026F 547십억원, 2027F 1,251십억원으로 확대되며 실적 개선을 뒷받침.",2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,소형전지,0,소형전지(IT) 부문은 2026F 영업적자(-190십억원) 지속 후 2027F 흑자전환 전망.,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,밸류에이션,1,보유 SDC 지분(15.2%) 가치를 BOE 대비 동일 멀티플 적용 시 22조원 수준으로 평가하며 섹터 내 탑픽 의견 유지.,1
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,ESS,2,"북미 전력용 및 데이터센터향 UPS 출하 증가, 수익성 좋은 LMO 기반 UPS 미국 판매 확대와 북미 LFP ESS 본격 가동으로 마진 개선을 기대.",1
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,소형전지,2,데이터센터향 BBU와 전동공구 판매 호조로 3분기부터 흑자 전환을 기대.,1
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,AMPC,1,"북미 LFP ESS 본격 가동으로 4분기부터 AMPC 의미있는 개선, 반영 규모 2026년 640십억원에서 2027년 1,552십억원으로 확대 전망.",1
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,LFP,1,북미 LFP ESS 본격 가동이 하반기 실적 개선 및 AMPC 증가의 핵심 동력.,1
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,밸류에이션,-1,"전지 부문 Peer EV/EBITDA 배수 하락(13.4배→12.7배)으로 목표가를 740,000원에서 680,000원으로 8% 하향.",1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리판매량,2,국내 EV 판매 급증(+122% YoY)으로 SK온 전사 배터리 판매량에 예상치 못한 +5~10%가 추가되며 가동률 안정으로 매출액·영업이익률 동시 개선 기대.,5
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,AMPC,0,"2026E AMPC 541.8십억원 반영(2025년 718.6십억원 대비 감소)하나 2027E 1,278.9십억원으로 회복, SK온 영업이익은 2027년 흑자전환(260.9십억원) 전망.",8
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,파우치,-2,파우치 M/S가 20년 28%에서 26년 11%로 급감하고 Top 고객사의 각형 채택 증가로 EV향 배터리 저성장 혹은 역성장이 우려된다.,1
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,LFP,-1,각형(Prismatic) 및 LFP Chemistry의 M/S 확대가 지속되어 파우치 생산사인 SK온에 부정적이다.,4
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,ESS,-1,ESS 수주는 총 2.7GWh로 26년 Capa의 0.8% 이하에 그치고 미국 시장 경쟁 심화 및 후발주자로 유의미한 M/S 확보에 장기간 소요될 전망이다.,1
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,북미CAPEX,-1,낮은 가동률로 기존 240GWh로 예상되던 배터리 Capa가 179GWh로 하향 조정된 것으로 해석된다.,10
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,수율,-2,배터리 부문 낮은 가동률이 지속되면 추가 자산손상차손 및 폐기손실에 따른 감익 가능성을 배제하기 어렵다.,10
