report_id,date,house,company,segment,fy,period,metric,value,unit,source_page
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,"중대형전지(EV,ESS)",2026,FY,영업이익,-248,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,"중대형전지(EV,ESS)",2027,FY,영업이익,-54,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전자재료,2026,FY,매출,1060,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전자재료,2027,FY,매출,1162,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전자재료,2026,FY,영업이익,141,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,전자재료,2027,FY,영업이익,162,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,기타(AMPC),2026,FY,영업이익,547,십억원,2
2026-06-26_미래에셋증권_삼성SDI,2026-06-26,미래에셋증권,삼성SDI,기타(AMPC),2027,FY,영업이익,1251,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전사,2025,FY,매출,13266.7,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전사,2026,FY,매출,15928.8,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전사,2027,FY,매출,20237.4,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전사,2025,FY,영업이익,-1722.4,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전사,2026,FY,영업이익,-92.4,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전사,2027,FY,영업이익,1198.3,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전지,2025,FY,매출,12384.1,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전지,2026,FY,매출,14823.0,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전지,2027,FY,매출,18860.9,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전지,2025,FY,영업이익,-1851.8,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전지,2026,FY,영업이익,-239.8,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전지,2027,FY,영업이익,974.4,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전자재료,2025,FY,매출,882.6,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전자재료,2026,FY,매출,1105.8,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전자재료,2027,FY,매출,1376.5,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전자재료,2025,FY,영업이익,129.4,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전자재료,2026,FY,영업이익,147.4,십억원,2
2026-06-11_삼성증권_삼성SDI,2026-06-11,삼성증권,삼성SDI,전자재료,2027,FY,영업이익,223.9,십억원,2
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK이노베이션,연결전사,2025,FY,매출,80296,십억원,1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK이노베이션,연결전사,2026,FY,매출,110581,십억원,1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK이노베이션,연결전사,2027,FY,매출,99085,십억원,1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK이노베이션,연결전사,2025,FY,영업이익,449,십억원,1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK이노베이션,연결전사,2026,FY,영업이익,6593,십억원,1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK이노베이션,연결전사,2027,FY,영업이익,4213,십억원,1
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리,2025,FY,매출,6978.2,십억원,8
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리,2026,FY,매출,6970.1,십억원,8
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리,2027,FY,매출,9652.0,십억원,8
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리,2025,FY,영업이익,-931.4,십억원,8
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리,2026,FY,영업이익,-769.1,십억원,8
2026-06-18_KB증권_SK온,2026-06-18,KB증권,SK온,배터리,2027,FY,영업이익,260.9,십억원,8
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK이노베이션,연결전사,2025,FY,매출,80296,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK이노베이션,연결전사,2026,FY,매출,110809,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK이노베이션,연결전사,2027,FY,매출,104160,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK이노베이션,연결전사,2025,FY,영업이익,449,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK이노베이션,연결전사,2026,FY,영업이익,5539,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK이노베이션,연결전사,2027,FY,영업이익,2658,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,배터리,2025,FY,매출,6978,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,배터리,2026,FY,매출,6893,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,배터리,2027,FY,매출,6124,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,배터리,2025,FY,영업이익,-932,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,배터리,2026,FY,영업이익,-1405,십억원,15
2026-06-15_LS증권_SK온,2026-06-15,LS증권,SK온,배터리,2027,FY,영업이익,-1678,십억원,15
